,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
241,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVH11,nan,2017,8,2500,10700,"3210,3460",16500,"11200,11800",139.28,磷酸铁锂电池,10.50,117.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3350/2800,永磁同步电机,100,nan,nan,nan,230,nan,0.215,nan,nan,配置ID： NC233830
242,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVH2,nan,2017,8,2500,10700,"3210,3460",16500,"12000,12500",162.62,磷酸铁锂电池,13.80,98.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3300/3000,三相永磁同步电机,100,nan,nan,nan,280,nan,0.236,nan,nan,配置ID： NC238690
243,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVH3,nan,2017,8,2500,10700,"3210,3460",16500,"12000,12500",189.24,磷酸铁锂电池,13.70,120.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3350/2800,永磁同步电机,100,nan,nan,nan,350,nan,0.236,nan,nan,配置ID： NC238677
244,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVP11,nan,2017,8,2500,10700,"3210,3460",16500,"11200,11800",139.28,磷酸铁锂电池,10.50,117.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3350/2800,永磁同步电机,100,nan,nan,nan,230,nan,0.215,nan,nan,配置ID： NC233877
245,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVP2,nan,2017,8,2500,10700,"3210,3460",16500,"12000,12500",162.62,磷酸铁锂电池,13.80,98.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3300/3000,三相永磁同步电机,100,nan,nan,nan,280,nan,0.236,nan,nan,配置ID： NC238696
246,珠海广通汽车有限公司,广通牌,纯电动客车,GTQ6119BEVP3,nan,2017,8,2500,10700,"3210,3460",16500,"12000,12500",189.24,磷酸铁锂电池,13.70,120.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3350/2800,永磁同步电机,100,nan,nan,nan,350,nan,0.236,nan,nan,配置ID： NC238687
247,珠海广通汽车有限公司,广通牌,纯电动城市客车,GTQ6123BEVBT8,nan,2017,8,2550,12000,3450,18000,12700,69.60,钛酸锂电池,12.90,nan,5.06C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,nan,nan,0.216,nan,nan,配置ID： NC234214
248,珠海广通汽车有限公司,广通牌,纯电动城市客车,GTQ6853BEVBT8,nan,2017,8,2500,8500,3450,13500,9000,46.40,钛酸锂电池,12.20,nan,5.11C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/2000,永磁同步电机,69,nan,nan,nan,nan,nan,0.193,nan,nan,配置ID： NC233984
249,珠海市广通客车有限公司,广客牌,纯电动客车,GTZ6112BEV3,nan,2017,8,2500,10970,3510,15500,"11500,11600",170.00,磷酸铁锂,12.90,121.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3500/3000,永磁同步电机,100,nan,nan,nan,305,nan,0.227,nan,nan,配置ID： NC238463
250,珠海市广通客车有限公司,广客牌,纯电动城市客车,GTZ6119BEVB2,nan,2017,8,2520,10660,3250,17000,11600,248.80,磷酸铁锂,18.10,117.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,250/3000/2500,永磁同步电机,69,nan,nan,nan,432,nan,0.170,nan,nan,配置ID： NC230315
