,企业_X,品牌_X,类型_X,产品型号_X,变更扩展记录_X,推荐目录颁布年份_X,推荐目录颁布批次_X,外廓尺寸宽(mm)_X,外廓尺寸长(mm)_X,外廓尺寸高(mm)_X,总质量(kg)_X,整备质量(kg)_X,储能装置总储电量(kWh)_X,储能装置种类_X,电池系统总质量占整车整备质量比例(%)_X,电池系统能量密度(Wh/kg)_X,快充倍率_X,工况条件下百公里耗电量(Y)(kWh/100km)_X,是否允许外接充电_X,发动机型号_X,发动机生产企业_X,排量/功率(ml/kW)_X,燃料消耗量(L/100km，B状态)_X,燃料消耗量(L/100km，电量平衡运行阶段)_X,燃料电池系统峰值功率(kW)_X,燃料电池系统生产企业(主要包含电堆)_X,燃料电池系统额定功率(kW)_X,燃料种类_X,驱动电机峰值功率/转速/转矩(kW /r/min/N.m)_X,驱动电机类型_X,最高车速(km/h)_X,纯电动模式下续驶里程(km，工况法)_X,纯电动模式下续驶里程(km，等速法)_X,续驶里程(km，工况法)_X,续驶里程(km，等速法)_X,节油率水平(%)_X,Ekg单位载质量能量消耗量(Wh/km·kg)_X,30分钟最高车速(km/h)_X,吨百公里电耗(kWh/t·100km)_X,车辆基本信_X
0,中国第一汽车集团公司,解放牌,纯电动售货车,CA5120XSHBEV21,nan,2017,8,2500,11990,3250,12000,10200,77.60,三元材料锂离子蓄电池,nan,110.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,160/3500/1800,永磁同步电机,60,nan,nan,nan,112,nan,nan,nan,4.00,配置ID： NC237840
1,中国第一汽车集团公司,解放牌,纯电动城市客车,CA6100URBEV23,nan,2017,8,2500,10490,"3100,3300",17000,"11000,11250",177.41,磷酸铁锂电池,16.60,103.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/2400/2500,永磁同步电机,69,nan,nan,nan,292,nan,0.217,nan,nan,配置ID： NC229710
2,一汽吉林汽车有限公司,森雅牌,纯电动轿车,CA7007REV,nan,2017,8,1780,4305,1655,1845,1470,nan,三元锂离子电池,nan,117.25,nan,19.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/12000/228,永磁同步电机,140,nan,nan,180,nan,nan,nan,130,nan,配置ID： NC238200
3,东风汽车公司,东风牌,纯电动厢式运输车,EQ5022XXYTBEV3,nan,2017,8,1630,4178,1898,2185,1450,44.00,三元锂电池,nan,122.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,64/8200/230,高效异步驱动电机,85,nan,nan,232,nan,nan,0.493,nan,nan,配置ID： NC237627
4,东风汽车公司,东风牌,纯电动厢式运输车,EQ5040XXYACBEV12,nan,2017,8,2100,5995,"2890,3090",4495,3175,83.60,三元材料锂离子电池,nan,119.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3500/955,永磁同步电机,90,nan,nan,nan,255,nan,0.411,nan,nan,配置ID： NC233269
5,东风汽车公司,东风牌,纯电动厢式运输车,EQ5040XXYACBEV13,nan,2017,8,"2000,2205,2305",5995,"2890,3090",4495,3060,83.87,磷酸铁锂电池,nan,114.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/3500/955,永磁同步电机,90,nan,nan,nan,245,nan,0.403,nan,nan,配置ID： NC239038
6,东风汽车公司,东风牌,纯电动流动服务车,EQ5041XDWACBEV,nan,2017,8,"2036, 2036","5800,5980, 5800,5980","2375,2590,2800, 2375,2590,2800","4500, 4500","3300, 3300","80.40, 80.40","三元材料锂离子, 三元材料锂离子",nan,"109.20, 109.20",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"90/5000/480, 90/6000/450","永磁同步牵引电动机, 永磁同步电机","100, 100",nan,nan,nan,"300, 300",nan,nan,nan,"5.97, 5.97","配置ID： NC186752, 配置ID： NC186749"
7,东风汽车公司,东风牌,纯电动厢式运输车,EQ5041XXYACBEV15,nan,2017,8,2036,"5800,5980","2375,2590",4495,2800,71.38,三元材料锂离子电池,nan,116.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/6000/480,永磁同步电机,100,nan,nan,nan,300,nan,0.274,nan,nan,配置ID： NC239421
8,东风汽车公司,东风牌,纯电动厢式运输车,EQ5044XXYACBEV,nan,2017,8,2040,5990,2740,4495,2800,75.00,锰酸锂材料锂离子,nan,106.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92/4500/750,永磁同步电机,100,nan,nan,nan,280,nan,0.306,nan,nan,配置ID： NC239137
9,东风汽车公司,东风牌,纯电动厢式运输车,EQ5045XXYTBEV11,nan,2017,8,"2020,2100,2200","5900,5995","2940,3000",4495,3120,90.40,三元锂离子电池,nan,127.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94/6000/320,永磁同步电机,90,nan,nan,nan,322,nan,0.344,nan,nan,配置ID： NC239754
10,东风汽车公司,东风牌,纯电动厢式运输车,EQ5045XXYTBEV13,nan,2017,8,"2020,2100,2200","5900,5995","2940,3000",4495,3250,99.80,三元锂离子电池,nan,122.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130/5000/750,永磁同步电机,95,nan,nan,nan,356,nan,0.404,nan,nan,配置ID： NC239839
11,东风汽车公司,东风牌,纯电动厢式运输车,EQ5045XXYTBEV14,nan,2017,8,"2020,2100,2200","5900,5995","2940,3000",4495,3150,88.00,三元锂离子电池,nan,120.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/4000/750,永磁同步电机,90,nan,nan,nan,316,nan,0.371,nan,nan,配置ID： NC239881
12,东风汽车公司,东风牌,纯电动厢式运输车,EQ5045XXYTBEV9,nan,2017,8,"2020,2100,2200","5900,5995","2940,3000",4495,3160,83.10,三元锂离子电池,nan,104.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130/5000/850,永磁同步电机,95,nan,nan,nan,300,nan,0.371,nan,nan,配置ID： NC239527
13,东风汽车公司,东风牌,纯电动厢式运输车,EQ5180XXYTBEV1,nan,2017,8,2550,"11860,9760","3990,3870,3700,3500",18000,9200,122.57,磷酸铁锂电池,nan,"122.84,126.51",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185/3500/1300,永磁同步电机,85,nan,nan,nan,100,nan,0.244,nan,nan,配置ID： NC238634
14,金华青年汽车制造有限公司,青年牌,燃料电池城市客车,JNP6103BFCEV,nan,2017,8,2500,10150,3405,15000,10200,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,南通百应能源有限公司,30.0,燃料电池,nan,nan,69,nan,nan,nan,390,nan,nan,nan,nan,配置ID： NC238554
15,金华青年汽车制造有限公司,青年牌,纯电动轿车,JNP7007BEV1,nan,2017,8,1635,3585,1475,1280,980,nan,三元材料锂离子电池,nan,139.41,nan,11.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30/7000/150,永磁同步,105,nan,nan,150.5,nan,nan,nan,105,nan,配置ID： NC238414
16,北京汽车制造厂有限公司,北京牌,纯电动厢式运输车,BJ5020XXY1Z432BEV,nan,2017,8,"1656, 1656","4212, 4212","1910, 1910","1950, 1950","1350,1370, 1350,1370","33.00, 33.00","三元材料锂离子动力蓄电池, 三元材料锂离子动力蓄电池",nan,"110.10, 110.10",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"45/6000/170, 45/8000/180","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"200, 200",nan,nan,"0.441, 0.452",nan,nan,"配置ID： NC215437, 配置ID： NC215261"
17,北京汽车制造厂有限公司,北京牌,纯电动多用途乘用车,BJ6420MA42BEV,nan,2017,8,"1656, 1656","4212, 4212","1910, 1910","1950, 1950","1400, 1400",nan,"三元材料锂离子动力蓄电池, 三元材料锂离子动力蓄电池",nan,"110.10, 110.10",nan,"12.80, 13.10",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"45/6000/170, 45/8000/180","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"200, 200",nan,nan,nan,"100, 100",nan,"配置ID： NC215429, 配置ID： NC215100"
18,北汽福田汽车股份有限公司,福田牌,纯电动邮政车,BJ5048XYZEV1,nan,2017,8,2000,5990,2620,4250,2850,66.60,三元锂离子蓄电池,nan,103.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/4200/800,永磁同步电机,100,nan,nan,nan,307,nan,0.341,nan,nan,配置ID： NC239056
19,北汽福田汽车股份有限公司,福田牌,纯电动客车,BJ6117EVUA-3,nan,2017,8,"2550, 2550","11210, 11210","3420,3560, 3420,3560","16400, 16400","11500,11800, 11500,11800","145.15, 165.88","磷酸铁锂蓄电池, 磷酸铁锂蓄电池","10.80, 12.40","119.30, 119.30",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"150/3000/2800, 150/3000/2800","永磁同步电机, 永磁同步电机","100, 100",nan,nan,nan,"275, 315",nan,"0.234, 0.232",nan,nan,"配置ID： NC240160, 配置ID： NC240152"
20,北汽福田汽车股份有限公司,福田牌,燃料电池城市客车,BJ6123FCEVCH-1,nan,2017,8,2550,12000,3460,18000,"12200,12700,13400",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.0,北京亿华通科技股份有限公司,60.0,氢气,nan,nan,69,nan,nan,nan,450(氢系统工作),nan,nan,nan,nan,配置ID： NC240562
21,北汽福田汽车股份有限公司,福田牌,燃料电池城市客车,BJ6851FCEVCH,nan,2017,8,2450,8540,3280,12500,"8600,8800",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,北京亿华通科技股份有限公司,30.5,氢气,nan,nan,69,nan,nan,nan,425(氢系统工作),nan,nan,nan,nan,配置ID： NC240497
22,北汽福田汽车股份有限公司,福田牌,插电式混合动力城市客车,BJ6905CHEVCA-11,nan,2017,8,"2450, 2450","8990, 8990","3000,3100, 3000,3100","13700, 13700","8650,9200, 8650,9200","30.34, 30.34","锰酸锂离子动力电池, 锰酸锂离子动力电池","3.60,3.40, 3.60,3.40",nan,nan,nan,"是, 是","WP5.180E51, YC4G180-50","潍柴动力股份有限公司, 广西玉柴机器股份有限公司","4980/132, 5200/132",nan,"15.09, 14.91",nan,nan,nan,"柴油/电混合动力, 柴油/电混合动力","135/3000/1600, 135/3000/1600","永磁同步电机, 永磁同步电机","69, 69",nan,"67, 67",nan,nan,"50.50, 51.10",nan,nan,nan,"配置ID： NC239820, 配置ID： NC239643"
23,北京汽车股份有限公司,北京牌,纯电动厢式运输车,BJ5023XXYV3RK-BEV,nan,2017,8,1650,4500,1940,2410,1600,43.50,三元锰酸锂动力电池,nan,113.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62/7500/220,永磁同步电机,80,nan,nan,220,nan,nan,0.460,nan,nan,配置ID： NC240025
24,北京汽车股份有限公司,北京牌,纯电动邮政车,BJ5023XYZV3RK-BEV,nan,2017,8,1650,4500,"1940,2150",2410,1600,43.50,三元锰酸锂动力电池,nan,113.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62/7500/220,永磁同步电机,80,nan,nan,220,nan,nan,0.460,nan,nan,配置ID： NC240092
25,北京汽车股份有限公司,北京牌,纯电动轿车,BJ7000U3D7-BEV,nan,2017,8,1750,4110,1583,1880,1480,nan,三元镍钴锰酸锂电池,nan,122.68,nan,16.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/9000/230,永磁同步电机,100,nan,nan,318,nan,nan,nan,100,nan,配置ID： NC230262
26,荣成华泰汽车有限公司,华泰牌,纯电动多用途乘用车,SDH6390BEVQL,nan,2017,8,1622,3866,1638,1595,1220,nan,锂离子动力蓄电池,nan,100.41,nan,12.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.8/8200/150,永磁同步电机,100,nan,nan,155,nan,nan,nan,100,nan,配置ID： NC239682
27,荣成华泰汽车有限公司,华泰圣达菲牌,纯电动多用途乘用车,SDH6440BEVGL2,nan,2017,8,1862,4426,1683;1709,2174,1799,nan,三元材料锂离子动力电池,nan,134.29,nan,16.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/9000/220.,永磁同步电机,130,nan,nan,380,nan,nan,nan,130,nan,配置ID： NC239398
28,荣成华泰汽车有限公司,华泰牌,纯电动轿车,SDH7000BEVBL1,nan,2017,8,1794,4777,1481,2110,1735,nan,三元材料锂离子电池,nan,135.90,nan,16.10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80/9000/220,永磁同步电机,130,nan,nan,320,nan,nan,nan,130,nan,配置ID： NC240836
29,荣成华泰汽车有限公司,华泰牌,纯电动轿车,SDH7000BEVRL,nan,2017,8,1587,3600,1527,1500,1125,nan,锂离子动力蓄电池,nan,96.96,nan,12.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.8/8200/150,永磁同步电机,100,nan,nan,160,nan,nan,nan,100,nan,配置ID： NC241052
30,丹东黄海汽车有限责任公司,黄海牌,插电式混合动力城市客车,DD6109CHEV8N,nan,2017,8,2482,10490,3440,16520,"11200,11600",41.96,锰酸锂蓄电池,5.80,nan,nan,nan,是,CA6SF2-21E5N,一汽解放汽车有限公司无锡柴油机厂,7130/158,nan,nan,nan,nan,nan,NG/电混合动力,135/3500/1000,永磁同步电机,69,nan,80,nan,nan,nan,nan,nan,nan,配置ID： NC238716
31,山东凯马汽车制造有限公司,凯马牌,纯电动载货汽车,KMC1035EVK30D,nan,2017,8,"1700,1840","4880,5360,4770",2100,3490,1980,51.39,三元锂离子蓄电池,nan,104.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/6000/200,永磁同步电机,80,nan,nan,200,nan,nan,0.261,nan,nan,配置ID： NC198531
32,山东凯马汽车制造有限公司,凯马牌,纯电动载货汽车,KMC1042EVK33D,nan,2017,8,2240,5995,2390,4495,3200,74.28,三元锂离子电池,nan,117.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/4500/800,永磁同步电机,80,nan,nan,nan,270,nan,0.416,nan,nan,配置ID： NC198125
33,山东凯马汽车制造有限公司,凯马牌,纯电动冷藏车,KMC5035XLCEVK30D,nan,2017,8,"1760,1900","4920,5400,4810","2560,2360",3490,2260,51.39,三元锂离子蓄电池,nan,104.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/6000/200,永磁同步电机,80,nan,nan,200,nan,nan,0.320,nan,nan,配置ID： NC198705
34,山东凯马汽车制造有限公司,凯马牌,纯电动厢式运输车,KMC5035XXYEVK30D,nan,2017,8,"1760,1900","4920,5400,4810","2560,2360",3490,2050,51.39,三元锂离子蓄电池,nan,104.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/6000/200,永磁同步电机,80,nan,nan,200,nan,nan,0.274,nan,nan,配置ID： NC198712
35,山东凯马汽车制造有限公司,凯马牌,纯电动厢式运输车,KMC5042XXYEVK33D,nan,2017,8,2240,5995,"3200,3000",4495,3305,74.28,三元锂离子电池,nan,117.90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/4500/800,永磁同步电机,80,nan,nan,nan,270,nan,0.416,nan,nan,配置ID： NC239019
36,广西华奥汽车制造有限公司,金华奥牌,纯电动城市客车,CCA6830BEVG02,nan,2017,8,2360,8340,"2910,3050",12500,7900,110.60,磷酸铁锂蓄电池,14.10,102.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/3000/2000,永磁同步牵引电动机,69,nan,nan,nan,295,nan,0.128,nan,nan,配置ID： NC217752
37,上海汽车商用车有限公司,大通牌,纯电动厢式运输车,SH5041XXYA9EV-6F,nan,2017,8,"2100,2200",5995,3000,4160,2600,71.00,锰酸锂蓄电池,nan,133.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/10000/320,永磁同步电机,100,nan,nan,nan,330,nan,0.267,nan,nan,配置ID： NC238550
38,上海申沃客车有限公司,申沃牌,纯电动城市客车,SWB6128BEV23,nan,2017,8,2500,11990,3470,18000,12100,110.59,磷酸铁锂蓄电池,12.15,nan,"5.18C,5.27C",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/10000/530,交流感应电机,69,nan,nan,nan,nan,nan,0.185,nan,nan,配置ID： NC238888
39,上海申沃客车有限公司,申沃牌,纯电动铰接城市客车,SWB6188BEV21,nan,2017,8,2500,17990,3470,28000,18700,147.46,磷酸铁锂蓄电池,10.50,nan,"5.27C,5.18C",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245/3000/3600,永磁同步电机,69,nan,nan,nan,nan,nan,0.158,nan,nan,配置ID： NC238863
40,北汽(常州)汽车有限公司,北京牌,纯电动流动服务车,BJ5040XDWCJ02EV,nan,2017,8,2020,5960,"2650,2360",4495,2960,88.92,三元锂离子电池,nan,129.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/5200/780,永磁同步电机,100,nan,nan,nan,280,nan,nan,nan,8.36,配置ID： NC239705
41,北汽(常州)汽车有限公司,北京牌,纯电动厢式运输车,BJ5040XXYCJ02EV,nan,2017,8,2020,5960,"2650,2360",4495,2860,74.34,锂离子动力电池,nan,126.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/5200/780,永磁同步电机,100,nan,nan,nan,256,nan,0.323,nan,nan,配置ID： NC230341
42,北汽(常州)汽车有限公司,北京牌,纯电动厢式运输车,BJ5040XXYCJ06EV,nan,2017,8,2020,5960,"2650,2360",4495,2860,91.60,锂离子蓄电池,nan,133.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,135/5200/780,永磁同步电机,100,nan,nan,nan,315,nan,0.336,nan,nan,配置ID： NC239587
43,北汽(常州)汽车有限公司,北京牌,插电式混合动力城市客车,BJ6101B11CHEV,nan,2017,8,2532,10490,"3150,3220",16600,"10800,11200",42.12,锰酸锂蓄电池,3.70,nan,nan,nan,允许,CA6DLD-20E5,一汽解放汽车有限公司无锡柴油机厂,6600/149,nan,14.40,nan,nan,nan,柴油/电混合动力,135/3500/1000,永磁同步电机,69,nan,65,nan,nan,61.60,nan,nan,nan,配置ID： NC240617
44,北汽(常州)汽车有限公司,北京牌,插电式混合动力城市客车,BJ6101B11PHEVN,nan,2017,8,2532,10490,"3150,3220",16600,"10900,11300",42.12,锰酸锂蓄电池,3.70,nan,nan,nan,允许,CA6SF2-21E5N,一汽解放汽车有限公司无锡柴油机厂,7130/158,nan,nan,nan,nan,nan,LNG/电混合动力,135/3500/1000,永磁同步电机,69,nan,65,nan,nan,nan,nan,nan,nan,配置ID： NC240171
45,北汽(常州)汽车有限公司,北京牌,插电式混合动力城市客车,BJ6121B11CHEV,nan,2017,8,2532,11980,"3150,3220",18000,"11400,11800",42.12,锰酸锂蓄电池,3.50,nan,nan,nan,允许,CA6DLD-22E5,一汽解放汽车有限公司无锡柴油机厂,6600/164,nan,18.10,nan,nan,nan,柴油/电混合动力,135/3500/1000,永磁同步电机,69,nan,60,nan,nan,51.70,nan,nan,nan,配置ID： NC240631
46,扬州亚星客车股份有限公司,亚星牌,纯电动城市客车,JS6108GHBEV18,nan,2017,8,2500,10500,"3050,3265",16500,"10000,10500",188.16,磷酸铁锂蓄电池,16.00,117.21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3100/2100,永磁同步电机,69,nan,nan,nan,335,nan,0.169,nan,nan,配置ID： NC238712
47,扬州亚星客车股份有限公司,亚星牌,纯电动城市客车,JS6128GHBEV15,nan,2017,8,2550,12000,"3050,3265",18000,"12500,12900",242.18,磷酸铁锂蓄电池,19.40,100.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3100/2100,永磁同步电机,69,nan,nan,nan,385,nan,0.231,nan,nan,配置ID： NC238020
48,扬州亚星客车股份有限公司,亚星牌,纯电动城市客车,JS6851GHBEV15,nan,2017,8,2400,8540,"3050,3210",12500,"7400,7800",107.52,磷酸铁锂蓄电池,12.40,122.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140/2080/2100,永磁同步电机,69,nan,nan,nan,275,nan,0.150,nan,nan,配置ID： NC238882
49,浙江飞碟汽车制造有限公司,飞碟牌,纯电动厢式运输车,FD5024XXYBEV,nan,2017,8,1400,3910,1905,1700,1070,25.92,三元电池,nan,106.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24/6000/110,三相永磁同步电机,80,nan,nan,180,nan,nan,0.398,nan,nan,配置ID： NC235454
50,浙江豪情汽车制造有限公司,帝豪牌,纯电动轿车,JL7001BEV55,nan,2017,8,1663,3778,1519,1450,1075,nan,三元锂离子动力电池,nan,124.03,nan,14.20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47.2/8200/150,永磁同步电机,110,nan,nan,155,nan,nan,nan,110,nan,配置ID： NC231243
51,浙江豪情汽车制造有限公司,吉利牌,纯电动轿车,JL7001BEV56,nan,2017,8,"1540, 1540","2806, 2806","1555, 1555","955, 955","775, 775",nan,"动力锂离子电池, 动力锂离子电池",nan,"135.13, 135.13",nan,"11.20, 10.90",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/7250/85, 30/7200/90","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"155, 155",nan,nan,nan,"100, 100",nan,"配置ID： NC239318, 配置ID： NC239314"
52,浙江豪情汽车制造有限公司,吉利牌,纯电动轿车,JL7001BEV57,nan,2017,8,"1540, 1540","2806, 2806","1555, 1555","955, 955","775, 775",nan,"三元锂离子动力电池, 三元锂离子动力电池",nan,"151.50, 151.50",nan,"10.70, 10.70",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/7250/85, 30/7200/90","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"155, 155",nan,nan,nan,"100, 100",nan,"配置ID： NC239322, 配置ID： NC239320"
53,浙江豪情汽车制造有限公司,吉利牌,纯电动轿车,JL7001BEV58,nan,2017,8,"1540, 1540","2806, 2806","1555, 1555","1000, 1000","820, 820",nan,"多元复合锂电池, 多元复合锂电池",nan,"136.89, 136.89",nan,"11.30, 11.20",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/7250/85, 30/7200/90","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"255, 255",nan,nan,nan,"100, 100",nan,"配置ID： NC239334, 配置ID： NC239327"
54,浙江豪情汽车制造有限公司,吉利牌,纯电动轿车,JL7001BEV61,nan,2017,8,"1585, 1585","2975, 2975","1590, 1590","1000, 1000","850, 850",nan,"三元锂离子动力电池, 三元锂离子动力电池",nan,"151.50, 151.50",nan,"11.50, 11.30",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"30/7300/95, 30/7300/95","永磁同步电机, 永磁同步电机","100, 100",nan,nan,"155, 155",nan,nan,nan,"100, 100",nan,"配置ID： NC239337, 配置ID： NC239335"
55,浙江吉利汽车有限公司,吉利美日牌,纯电动轿车,MR7002BEV08,nan,2017,8,1789,4631,1495,1970,1595,nan,三元锂离子动力电池,nan,142.07,nan,14.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,120/12000/250,三相调速永磁同步电机,140,nan,nan,400,nan,nan,nan,140,nan,配置ID： NC231046
56,浙江吉利汽车有限公司,吉利牌,纯电动轿车,SMA7001BEV40,nan,2017,8,1745,3971,1496,1530,1155,nan,三元材料锂离子动力电池,nan,130.93,nan,13.40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,49/7000/175,交流异步电机,102,nan,nan,151,nan,nan,nan,102,nan,配置ID： NC238239
57,安徽安凯汽车股份有限公司,安凯牌,纯电动城市客车,HFF6100G03EV-61,nan,2017,8,2500,10450,"3150,3250",17000,12500,290.30,磷酸铁锂电池,19.70,119.30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,576,nan,0.212,nan,nan,配置ID： NC238765
58,安徽安凯汽车股份有限公司,安凯牌,纯电动城市客车,HFF6109G03EV5,nan,2017,8,2500,10450,"3150,3250",16500,"11000,11660",207.36,磷酸铁锂电池,18.40,103.50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200/3000/2800,永磁同步电机,69,nan,nan,nan,440,nan,0.193,nan,nan,配置ID： NC238809
59,安徽安凯汽车股份有限公司,安凯牌,纯电动城市客车,HFF6800G03EV4,nan,2017,8,2350,8005,"3000,3100",10200,"6800,7200",99.69,磷酸铁锂电池,11.80,120.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,150/3000/1500,永磁同步电机,69,nan,nan,nan,300,nan,0.217,nan,nan,配置ID： NC238822
60,安徽江淮汽车股份有限公司,江淮牌,纯电动路面养护车,HFC5031TYHPV4EV5B3,nan,2017,8,1765,5390,2160,2980,2540,42.77,磷酸铁锂蓄电池,nan,94.80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50/7200/220,永磁同步电机,80,nan,nan,205,nan,nan,nan,nan,8.20,配置ID： NC240945
61,安徽江淮汽车股份有限公司,江淮牌,纯电动轿车,HFC7001A3EV,nan,2017,8,"1710, 1710","4320, 4320","1515, 1515","1635, 1635","1260, 1260",nan,"磷酸铁锂动力电池, 磷酸铁锂动力电池",nan,"100.32, 100.32",nan,"16.03, 16.03",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"50/7200/215, 50/7200/215","永磁同步内转子电机, 永磁同步内转子电机","120, 120",nan,nan,"180, 180",nan,nan,nan,"120, 120",nan,"配置ID： NC237926, 配置ID： NC237899"
62,福建省汽车工业集团云度新能源汽车股份有限公司,云度牌,纯电动轿车,YDE7000BEV2A,nan,2017,8,1765,4340,1610,1825,1450,nan,三元锂离子蓄电池,nan,126.40,nan,16.70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,90/9300/270,永磁同步电动机,140,nan,nan,260,nan,nan,nan,120,nan,配置ID： NC238529
63,福建新龙马汽车股份有限公司,福建牌,纯电动厢式运输车,FJ5020XXYBEVA16,nan,2017,8,1677,4071,1902,1980,"1340,1350",36.30,镍钴锰酸锂电池,nan,114.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/8000/180,永磁同步电机,100,nan,nan,220,nan,nan,0.460,nan,nan,配置ID： NC228889
64,福建新龙马汽车股份有限公司,福建牌,纯电动厢式运输车,FJ5020XXYBEVA19,nan,2017,8,1677,4071,1902,1980,"1355,1365",37.60,磷酸铁锂蓄电池,nan,114.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45/8000/180,永磁同步电机,100,nan,nan,235,nan,nan,0.498,nan,nan,配置ID： NC230042
65,一汽解放青岛汽车有限公司,解放牌,纯电动自卸汽车,CA3251P66T1BEV,nan,2017,8,2550,"8510,8310",3600,25000,12430,130.00,磷酸铁锂动力电池,nan,97.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,245/3500/1500,永磁同步电机,79,nan,nan,nan,120,nan,0.160,nan,nan,配置ID： NC226869
66,一汽解放青岛汽车有限公司,解放牌,纯电动厢式运输车,CA5045XXYP40L1BEVA84,nan,2017,8,"2025,2220",5998,"2910,3110",4495,3000,74.50,三元锂离子电池,nan,120.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100/9500/385,三相永磁同步电机,90,nan,nan,nan,200,nan,0.388,nan,nan,配置ID： NC222477
